StationName,IndexNbr,RegionId,RegionName,Latitude,Longitude,CountryArea,CountryCode,StationId,IndexSubNbr,Hp,Hha
ROMA AIRPORT,94515,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-26.53 ,148.77 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6155,0,303,314
ST GEORGE AIRPORT,94517,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-28.03 ,148.58 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,11472,0,199,199
MUNGINDI POST OFFICE,94520,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-28.97 ,148.98 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6157,0,160,160
SURAT,94521,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-27.15 ,149.07 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6158,0,245,245
TAROOM POST OFFICE,94525,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-25.63 ,149.78 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6159,0,200,199
GOONDIWINDI AIRPORT,94530,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-28.52 ,150.32 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6163,0,218,217
INVERELL RESEARCH CENTRE,94541,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-29.77 ,151.07 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6164,0,664,664
DALBY AIRPORT,94542,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-27.15 ,151.25 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,6165,0,344,346
PINDARI DAM,94544,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-29.38 ,151.23 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,11471,0,462,462
MALENY TAMARIND ST,94547,5,SOUTH-WEST PACIFIC / PACIFIQUE SUD-OUEST,-26.75 ,152.85 ,AUSTRALIA / AUSTRALIE (LAT 25~S - 30~S),5280,12672,0,425,425
